fill_number,first_run_number,last_run_number,duration,start_time,end_time,start_stable_beam,end_stable_beam,delivered_lumi_stablebeams,recorded_lumi_stablebeams,downtime,efficiency_lumi_stablebeams,peak_lumi,peak_pileup,fill_type_runtime,bunches_colliding,beta_star,energy,injection_scheme,to_tracker_ready_time,intensity_beam2,intensity_beam1,to_ready_time,crossing_angle,dump_ready_to_dump_time,b_field,peak_specific_lumi,stop_crossing_angle,era,init_lumi,bunches_target,stable_beams,delivered_lumi,recorded_lumi,start_crossing_angle,efficiency_time,to_dump_ready_time,fill_type_party2,fill_type_party1,beta_star_start,bunches_beam1,bunches_beam2,efficiency_lumi,beta_star_stop,duration_total
10530,391133,391137,8623,2025-04-26 17:44:11,2025-04-26 21:19:15,2025-04-26 18:39:29,2025-04-26 21:03:12,0.001101343328,8.86340224E-4,1039,80.478,2.49438249E-4,0.220377,PROTONS,4,1100.0,449.76,Single_12b_8_8_8_1bpi_12inj,41.0,15.967025,17.423948,60.0,170.0,103.0,3.8,1.8332145E-5,170.0,Run2025A,2.45307658E-4,8,true,0.001166892826,9.38418194E-4,170.0,87.951,217.0,PROTON,PROTON,1100.0,12,12,80.42,1100.0,12904
10491,390953,390960,17300,2025-04-22 07:30:31,2025-04-22 13:16:18,2025-04-22 07:58:16,2025-04-22 12:46:36,0.001834160649,0.00161321982,1565,87.954,3.00647487E-4,0.25362,PROTONS,8,1100.0,449.76,Single_12b_8_8_8_1bpi_12inj,331.0,16.52375,16.602383,347.0,170.0,120.0,3.8,1.7672723E-5,170.0,Run2025A,2.44378903E-4,8,true,0.002045672752,0.001704704199,170.0,90.953,216.0,PROTON,PROTON,1100.0,12,12,83.332,1100.0,20747
10489,390950,390951,584,2025-04-22 06:45:04,2025-04-22 07:30:01,2025-04-22 07:09:16,2025-04-22 07:19:00,1.22507312E-4,1.13049844E-4,24,92.28,2.89209048E-4,0.217664,PROTONS,8,1100.0,449.76,Single_12b_8_8_8_1bpi_12inj,41.0,15.404445,15.29165,59.0,170.0,,3.8,1.9759471E-5,170.0,Run2025A,2.19696292E-4,8,true,3.58512139E-4,2.46049835E-4,170.0,95.883,,PROTON,PROTON,1100.0,12,12,68.631,1100.0,2697
10404,388784,388785,12123,2024-11-23 00:04:32,2024-11-23 06:48:00,2024-11-23 02:13:34,2024-11-23 05:35:37,6.0323804E-5,5.7309806E-5,208,95.004,6.389194E-6,4.9E-5,IONS,920,50.0,6798.72,50ns_1240b_1032_1032_557_56bpi_PbPb,42.0,226.87328,229.38097,59.0,150.0,,3.8,1.85533E-7,150.0,HIRun2024B,2.418139E-6,1032,true,6.083611E-5,5.781107E-5,150.0,98.284,,PB82,PB82,50.0,1184,1128,95.028,50.0,24208
10401,388753,388770,12699,2024-11-22 09:47:30,2024-11-22 16:35:26,2024-11-22 12:55:01,2024-11-22 16:26:40,6.7081164E-5,6.2442445E-5,370,93.085,6.421011E-6,4.4E-5,IONS,1032,50.0,6799.32,50ns_1240b_1032_1032_557_56bpi_PbPb,39.0,247.180779,244.890542,2899.0,150.0,108.0,3.8,1.62982E-7,150.0,HIRun2024B,3.017005E-6,1032,true,6.7374285E-5,6.2733729E-5,150.0,97.086,215.0,PB82,PB82,50.0,1240,1240,93.112,50.0,24476
10400,388749,388752,21901,2024-11-22 00:07:39,2024-11-22 09:47:30,2024-11-22 02:59:18,2024-11-22 09:04:19,9.2359204E-5,8.740427E-5,798,94.635,6.408833E-6,4.4E-5,IONS,1032,50.0,6799.2,50ns_1240b_1032_1032_557_56bpi_PbPb,39.0,250.736479,250.368659,58.0,150.0,380.0,3.8,1.56378E-7,150.0,HIRun2024B,2.325648E-6,1032,true,9.3181736E-5,8.8208782E-5,150.0,96.356,,PB82,PB82,50.0,1240,1240,94.663,50.0,34791
10398,388715,388748,24131,2024-11-21 08:51:40,2024-11-21 22:56:35,2024-11-21 15:20:51,2024-11-21 22:03:02,9.5112633E-5,7.7672105E-5,3439,81.663,6.403802E-6,4.4E-5,IONS,1032,50.0,6799.2,50ns_1240b_1032_1032_557_56bpi_PbPb,42.0,247.35975,245.002383,60.0,150.0,513.0,3.8,1.57428E-7,150.0,HIRun2024B,2.113021E-6,1032,true,9.5525501E-5,7.793821E-5,150.0,85.749,,PB82,PB82,50.0,1240,1240,81.589,50.0,50695
10397,388706,388713,26264,2024-11-20 22:45:07,2024-11-21 08:51:40,2024-11-21 01:33:02,2024-11-21 08:50:46,9.6113383E-5,8.7974587E-5,954,91.532,6.396723E-6,4.4E-5,IONS,,50.0,6799.2,50ns_1240b_1032_1032_557_56bpi_PbPb,43.0,244.591173,239.18136,60.0,150.0,130.0,3.8,1.6097E-7,150.0,HIRun2024B,2.173453E-6,1032,true,9.6518105E-5,8.8375731E-5,150.0,96.368,216.0,PB82,PB82,50.0,1240,1240,91.564,50.0,36393
10392,388616,388629,13907,2024-11-19 21:18:11,2024-11-20 07:40:46,2024-11-19 23:45:12,2024-11-20 03:36:59,7.1691224E-5,6.3260776E-5,875,88.241,6.575334E-6,4.5E-5,IONS,1032,50.0,6799.2,50ns_1240b_1032_1032_557_56bpi_PbPb,41.0,247.598489,238.612382,57.0,150.0,,3.8,1.55498E-7,150.0,HIRun2024B,3.325528E-6,1032,true,7.2028636E-5,6.3594271E-5,150.0,93.708,,PB82,PB82,50.0,1240,1240,88.29,50.0,37355
10391,388609,388615,1841,2024-11-19 18:03:25,2024-11-19 21:18:11,2024-11-19 20:30:08,2024-11-19 21:00:49,1.1097032E-5,1.023211E-5,100,92.206,6.412466E-6,4.4E-5,IONS,1032,50.0,6799.2,50ns_1240b_1032_1032_557_56bpi_PbPb,40.0,245.29351,237.792836,57.0,150.0,,3.8,1.58576E-7,150.0,HIRun2024B,1.748115E-6,1032,true,1.1307699E-5,1.0440977E-5,150.0,94.565,,PB82,PB82,50.0,1240,1240,92.335,50.0,11686
